periodo,sexo,poblacion,nivel_ingreso,nivel_instruccion
Tercer trimestre del 2016,Mujer,1023509.0,Hasta un salario mínimo,Primaria completa
Segundo trimestre del 2016,Hombre,939645.0,Hasta un salario mínimo,Primaria completa
Segundo trimestre del 2016,Mujer,1023738.0,Hasta un salario mínimo,Primaria completa
Primer trimestre del 2016,Hombre,990477.0,Hasta un salario mínimo,Primaria completa
Primer trimestre del 2016,Mujer,1023026.0,Hasta un salario mínimo,Primaria completa
Cuarto trimestre del 2015,Hombre,955950.0,Hasta un salario mínimo,Primaria completa
Cuarto trimestre del 2015,Mujer,982281.0,Hasta un salario mínimo,Primaria completa
Tercer trimestre del 2015,Hombre,824043.0,Hasta un salario mínimo,Primaria completa
Tercer trimestre del 2015,Mujer,902328.0,Hasta un salario mínimo,Primaria completa
Segundo trimestre del 2015,Hombre,865182.0,Hasta un salario mínimo,Primaria completa
Segundo trimestre del 2015,Mujer,938245.0,Hasta un salario mínimo,Primaria completa
Primer trimestre del 2015,Hombre,843347.0,Hasta un salario mínimo,Primaria completa
Primer trimestre del 2015,Mujer,930712.0,Hasta un salario mínimo,Primaria completa
Cuarto trimestre del 2014,Hombre,824473.0,Hasta un salario mínimo,Primaria completa
Cuarto trimestre del 2014,Mujer,874133.0,Hasta un salario mínimo,Primaria completa
Tercer trimestre del 2014,Hombre,863277.0,Hasta un salario mínimo,Primaria completa
Tercer trimestre del 2014,Mujer,888538.0,Hasta un salario mínimo,Primaria completa
Segundo trimestre del 2014,Hombre,832479.0,Hasta un salario mínimo,Primaria completa
Segundo trimestre del 2014,Mujer,848542.0,Hasta un salario mínimo,Primaria completa
Primer trimestre del 2014,Hombre,816491.0,Hasta un salario mínimo,Primaria completa
Primer trimestre del 2014,Mujer,840697.0,Hasta un salario mínimo,Primaria completa
Cuarto trimestre del 2013,Hombre,869726.0,Hasta un salario mínimo,Primaria completa
Cuarto trimestre del 2013,Mujer,930074.0,Hasta un salario mínimo,Primaria completa
Tercer trimestre del 2013,Hombre,825330.0,Hasta un salario mínimo,Primaria completa
Tercer trimestre del 2013,Mujer,969424.0,Hasta un salario mínimo,Primaria completa
Segundo trimestre del 2013,Hombre,784952.0,Hasta un salario mínimo,Primaria completa
Segundo trimestre del 2013,Mujer,963776.0,Hasta un salario mínimo,Primaria completa
Primer trimestre del 2013,Hombre,761105.0,Hasta un salario mínimo,Primaria completa
Primer trimestre del 2013,Mujer,875657.0,Hasta un salario mínimo,Primaria completa
Cuarto trimestre del 2012,Hombre,795533.0,Hasta un salario mínimo,Primaria completa
Cuarto trimestre del 2012,Mujer,894412.0,Hasta un salario mínimo,Primaria completa
Tercer trimestre del 2012,Hombre,846452.0,Hasta un salario mínimo,Primaria completa
Tercer trimestre del 2012,Mujer,907206.0,Hasta un salario mínimo,Primaria completa
Segundo trimestre del 2012,Hombre,811201.0,Hasta un salario mínimo,Primaria completa
Segundo trimestre del 2012,Mujer,902078.0,Hasta un salario mínimo,Primaria completa
Primer trimestre del 2012,Hombre,804070.0,Hasta un salario mínimo,Primaria completa
Primer trimestre del 2012,Mujer,892606.0,Hasta un salario mínimo,Primaria completa
Cuarto trimestre del 2011,Hombre,832388.0,Hasta un salario mínimo,Primaria completa
Cuarto trimestre del 2011,Mujer,850580.0,Hasta un salario mínimo,Primaria completa
Tercer trimestre del 2011,Hombre,764898.0,Hasta un salario mínimo,Primaria completa
Tercer trimestre del 2011,Mujer,783878.0,Hasta un salario mínimo,Primaria completa
Segundo trimestre del 2011,Hombre,747069.0,Hasta un salario mínimo,Primaria completa
Segundo trimestre del 2011,Mujer,819739.0,Hasta un salario mínimo,Primaria completa
Primer trimestre del 2011,Hombre,755230.0,Hasta un salario mínimo,Primaria completa
Primer trimestre del 2011,Mujer,773159.0,Hasta un salario mínimo,Primaria completa
Cuarto trimestre del 2010,Hombre,734431.0,Hasta un salario mínimo,Primaria completa
Cuarto trimestre del 2010,Mujer,820535.0,Hasta un salario mínimo,Primaria completa
Tercer trimestre del 2010,Hombre,789554.0,Hasta un salario mínimo,Primaria completa
Tercer trimestre del 2010,Mujer,861080.0,Hasta un salario mínimo,Primaria completa
